ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
ADD;UN01002516;ABIE;Academic_ Qualification. Details;An academic achievement that is officially recognized.;;;Academic;Qualification;;;;;;;;;;;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002517;BBIE;Academic_ Qualification. Name. Text;A name, expressed as text, of this academic qualification.;;;Academic;Qualification;;Name;;Text;;;;;;;0;unbounded;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002518;BBIE;Academic_ Qualification. Abbreviated Name. Text;The abbreviated name, expressed as text, of this academic qualification.;;;Academic;Qualification;;Abbreviated Name;;Text;;;;;;;0;1;In All Contexts;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002416;ABIE;Accidental Release Measure_ Instructions. Details;Accidental release measure instructions are a set of instructions detailing the measures to be taken in the event of an accidental release of a hazardous material.;;;Accidental Release Measure;Instructions;;;;;;;;;;;;;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002417;BBIE;Accidental Release Measure_ Instructions. Containment_ Procedure. Text;The containment procedure, expressed as text, in this set of accidental release measure instructions.;;;Accidental Release Measure;Instructions;Containment;Procedure;;Text;;;;;Text description for methods of containing the product in case of an accidental release.;;0;1;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002418;BBIE;Accidental Release Measure_ Instructions. Clean-Up_ Procedure. Text;The clean-up procedure, expressed as text, in this set of accidental release measure instructions.;;;Accidental Release Measure;Instructions;Clean-up;Procedure;;Text;;;;;Text description for specific methods of clean up of the product in case of an accidental release.;;0;1;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002419;BBIE;Accidental Release Measure_ Instructions. Personal Precaution_ Handling. Text;The personal precaution handling, expressed as text, in this set of accidental release measure instructions.;;;Accidental Release Measure;Instructions;Personal Precaution;Handling;;Text;;;;;Text description of personal protective actions to take in case of and accidental release of the product.;;1;1;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002420;BBIE;Accidental Release Measure_ Instructions. Environmental Precaution_ Handling. Text;The environmental precaution handling, expressed as text, in this set of accidental release measure instructions.;;;Accidental Release Measure;Instructions;Environmental Precaution;Handling;;Text;;;;;Text description of environmental protection actions to take in case of an accidental release of the product.;;1;1;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01002421;BBIE;Accidental Release Measure_ Instructions. Neutralizing Agent_ Item Name. Text;The name, expressed as text, of the neutralizing agent item in this set of accidental release measure instructions.;;;Accidental Release Measure;Instructions;Neutralizing Agent;Item Name;;Text;;;;;Information on a chemical neutralizing agent to that is provided as instructions for controlling reaction of a specific chemical.;;1;1;MSDS Reporting;;;In All Contexts;;;In All Contexts;;;US;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
;UN01001290;ABIE;Account Servicing_ Financial Institution. Details;The financial institution that services the account on behalf of the beneficiary.;;;Account Servicing;Financial Institution;;;;;;;;;;;;;Trade;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;None;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
