ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;;;Example(s);BIE/CC/DT Version;Ref Library Version;Submitter;Ref Component UN ID;Ref CR ID;Unique submitter ID;CR Status Date;CR Status;TBG17 Comment;TDED;Submitted Definition;Submitter Comment;Submitted DEN;Submission Row Number;Unique CC/BIE ID;CR Storage Date;Publication Refs -- Source
;UNDT000001;DT;#NAME?;;;;;Amount;;;;Amount;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000001-SC 1;CC;Amount. Content;A number of monetary units specificed in a currency where the unit of currencyis explicit or implied.;;;0;Amount;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000001-SC 2;SC;Amount. Currency. Identifier;The currency of the amount.;;;0;Amount;;Currency;;Identifier;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000001-SC 3;SC;Amount. Currency Code List Version. Identifier;The version of the UN/ECE rec. 9 code list.;;;0;Amount;;Currency Code List Version;;Identifier;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003;DT;#NAME?;;;;;Binary Object;;;;Binary Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 1;CC;Binary Object. Content;A set of finite-length sequences of binary octets.;;;0;Binary Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 2;SC;Binary Object. Format. Text;The format of the binary content.;;;0;Binary Object;;Format;;Text;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 3;SC;Binary Object. Mime. Code;The mime type of the binary object.;;;0;Binary Object;;Mime;;Code;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 4;SC;Binary Object. Encoding. Code;Specifies the decoding algorithm of the binary object.;;;0;Binary Object;;Encoding;;Code;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 5;SC;Binary Object. Character Set. Code;The character set of the binary object if the mime type is text.;;;0;Binary Object;;Character Set;;Code;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 6;SC;Binary Object. Uniform Resource. Identifier;The Uniform Resource Identifier that identifies where the binary object is located.;;;0;Binary Object;;Uniform Resource;;Identifier;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000002-SC 7;SC;Binary Object. Filename. Text;The filename of the binary object.;;;0;Binary Object;;Filename;;Text;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003;DT;#NAME?;;;;;Binary Object;;;;Graphic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 1;CC;Binary Object. Content;A set of finite-length sequences of binary octets.;;;0;Binary Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 2;SC;Binary Object. Format. Text;The format of the binary content.;;;0;Binary Object;;Format;;Text;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 3;SC;Binary Object. Mime. Code;The mime type of the binary object.;;;0;Binary Object;;Mime;;Code;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 4;SC;Binary Object. Encoding. Code;Specifies the decoding algorithm of the binary object.;;;0;Binary Object;;Encoding;;Code;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 5;SC;Binary Object. Character Set. Code;The character set of the binary object if the mime type is text.;;;0;Binary Object;;Character Set;;Code;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 6;SC;Binary Object. Uniform Resource. Identifier;The Uniform Resource Identifier that identifies where the binary object is located.;;;0;Binary Object;;Uniform Resource;;Identifier;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000003-SC 7;SC;Binary Object. Filename. Text;The filename of the binary object.;;;0;Binary Object;;Filename;;Text;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004;DT;#NAME?;;;;;Binary Object;;;;Picture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 1;CC;Binary Object. Content;A set of finite-length sequences of binary octets.;;;0;Binary Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 2;SC;Binary Object. Format. Text;The format of the binary content.;;;0;Binary Object;;Format;;Text;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 3;SC;Binary Object. Mime. Code;The mime type of the binary object.;;;0;Binary Object;;Mime;;Code;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 4;SC;Binary Object. Encoding. Code;Specifies the decoding algorithm of the binary object.;;;0;Binary Object;;Encoding;;Code;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 5;SC;Binary Object. Character Set. Code;The character set of the binary object if the mime type is text.;;;0;Binary Object;;Character Set;;Code;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 6;SC;Binary Object. Uniform Resource. Identifier;The Uniform Resource Identifier that identifies where the binary object is located.;;;0;Binary Object;;Uniform Resource;;Identifier;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000004-SC 7;SC;Binary Object. Filename. Text;The filename of the binary object.;;;0;Binary Object;;Filename;;Text;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000005;DT;#NAME?;;;;;Binary Object;;;;Sound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNDT000005-SC 1;CC;Binary Object. Content;A set of finite-length sequences of binary octets.;;;0;Binary Object;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
