ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
;UN00001267;ACC;Accounting Account. Details;A specific account for recording debits and credits to general accounting, cost accounting or budget accounting.;;;;Accounting Account;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHG;UN00001268;BCC;Accounting Account. Identification. Identifier;The unique identifier for this accounting account.;;Minimum occurrence changed to zero.;;Accounting Account;;Identification;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001269;BCC;Accounting Account. Set Trigger. Code;A code specifying a set trigger for the accounting account to be used in response to a specific event or set of events.;;;;Accounting Account;;Set Trigger;;Code;;;;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001270;BCC;Accounting Account. Type. Code;The code specifying the type of accounting account such as general(main), secondary, cost accounting, budget account.;;;;Accounting Account;;Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UN00001271;BCC;Accounting Account. Amount Type. Code;The code specifying the amount type for a specific accounting account.;;;;Accounting Account;;Amount Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002145;BCC;Accounting Account. Sub Account. Identifier;The unique identifier for this accounting sub account.;;;;Accounting Account;;Sub Account;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002146;BCC;Accounting Account. Name. Text;The name, expressed as text, of this accounting account.;;;;Accounting Account;;Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002147;BCC;Accounting Account. Abbreviated Name. Text;The abbreviated name, expressed as text, of this accounting account.;;;;Accounting Account;;Abbreviated Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002148;BCC;Accounting Account. Main Accounts Chart. Identifier;The unique identifier for the main accounts chart for this accounting account.;;;;Accounting Account;;Main Accounts Chart;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002149;BCC;Accounting Account. Main Accounts Chart Reference. Identifier;The unique identifier of the main accounts chart reference for this accounting account.;;;;Accounting Account;;Main Accounts Chart Reference;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002150;ASCC;Accounting Account. Derived. Report;A report which is derived from values within this accounting account, such as a tax return or financial statement.;;;;Accounting Account;;Derived;;;;;Report;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002165;ACC;Accounting Entry Line. Details;A line included in an accounting entry.;;;;Accounting Entry Line;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002166;BCC;Accounting Entry Line. Comment. Text;The comment, expressed as text, for this accounting entry line.;;;;Accounting Entry Line;;Comment;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002167;BCC;Accounting Entry Line. Category. Code;The code specifying the category of this accounting entry line, such as opening balance, normal, simulation, paid commercial paper not yet due from a prior period, not matched line in a prior period, or not reconciled line in a prior period.;;;;Accounting Entry Line;;Category;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002168;BCC;Accounting Entry Line. Source. Code;The code specifying the source of this accounting entry line, such as year to date, import, or manual input.;;;;Accounting Entry Line;;Source;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002169;BCC;Accounting Entry Line. Last Change. Date Time;The date, time, date time, or other date time value of the last change to this accounting entry line.;;;;Accounting Entry Line;;Last Change;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002170;BCC;Accounting Entry Line. Last Change Responsible Person Name. Text;The name or initials of the person, expressed as text, responsible for the last change to this accounting entry line.;;;;Accounting Entry Line;;Last Change Responsible Person Name;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002171;ASCC;Accounting Entry Line. Specified. Accounting Line Index;The specified accounting line index for this accounting entry line.;;;;Accounting Entry Line;;Specified;;;;;Accounting Line Index;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002172;ASCC;Accounting Entry Line. Repeated. Monetary Allocation;A repeated monetary allocation for this accounting entry line.;;;;Accounting Entry Line;;Repeated;;;;;Monetary Allocation;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002173;ASCC;Accounting Entry Line. Repeated. Monetary Instalment;A repeated monetary instalment for this accounting entry line.;;;;Accounting Entry Line;;Repeated;;;;;Monetary Instalment;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002174;ASCC;Accounting Entry Line. Related. Quantity Analysis;The quantity analysis related to this accounting entry line.;;;;Accounting Entry Line;;Related;;;;;Quantity Analysis;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002175;ASCC;Accounting Entry Line. Related. Accounting Line Monetary Value;An accounting line monetary value related to this accounting entry line.;;;;Accounting Entry Line;;Related;;;;;Accounting Line Monetary Value;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002176;ASCC;Accounting Entry Line. Related. Tax;A tax related to this accounting entry line.;;;;Accounting Entry Line;;Related;;;;;Tax;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002151;ACC;Accounting Entry. Details;A posting of monetary values into accounting books that indicates the financial flow for an economic event, the acquisition or consumption of a resource, or the working contribution of an agent.;;;;Accounting Entry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002152;BCC;Accounting Entry. Identification. Identifier;The unique identifier for this accounting entry.;;;;Accounting Entry;;Identification;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002153;BCC;Accounting Entry. Processing Status. Code;The code specifying the processing status for this accounting entry, such as validated, not validated, proposed, simulated, deferred, or removed.;;;;Accounting Entry;;Processing Status;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002154;BCC;Accounting Entry. Journal. Identifier;The unique identifier of the journal for this accounting entry.;;;;Accounting Entry;;Journal;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002155;BCC;Accounting Entry. Value Date. Date Time;The date, time, date time, or other date time value of the value date of this accounting entry.;;;;Accounting Entry;;Value Date;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002156;BCC;Accounting Entry. Removal. Indicator;The indication of whether or not this accounting entry must be removed.;;;;Accounting Entry;;Removal;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002157;BCC;Accounting Entry. Unbalanced. Indicator;The indication of whether or not the debit and credit amounts of this accounting entry are unbalanced.;;;;Accounting Entry;;Unbalanced;;Indicator;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002158;BCC;Accounting Entry. Related Entry. Identifier;The unique identifier of an entry related to this accounting entry.;;;;Accounting Entry;;Related Entry;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002159;BCC;Accounting Entry. Category. Code;The code specifying the category of this accounting entry, such as financial accounting, budget, comparison, standard, recurring, or reordered.;;;;Accounting Entry;;Category;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002160;BCC;Accounting Entry. Purpose. Text;The purpose, expressed as text, for this accounting entry.;;;;Accounting Entry;;Purpose;;Text;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002161;BCC;Accounting Entry. Capture. Date Time;The date, time, date time, or other date time value of the capture of this accounting entry.;;;;Accounting Entry;;Capture;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002162;BCC;Accounting Entry. Reversal. Date Time;The date, time, date time, or other date time value for the reversal of this accounting entry.;;;;Accounting Entry;;Reversal;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002163;BCC;Accounting Entry. Validation. Date Time;The date, time, date time, or other date time value for the validation of this accounting entry.;;;;Accounting Entry;;Validation;;Date Time;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002164;ASCC;Accounting Entry. Detailed. Accounting Entry Line;A detailed accounting line entry for this accounting entry.;;;;Accounting Entry;;Detailed;;;;;Accounting Entry Line;;;;0;unbounded;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002187;ACC;Accounting Line Index. Details;The identification of a line in a folio of a book or an automated index.;;;;Accounting Line Index;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002188;BCC;Accounting Line Index. Line. Numeric;The number of the line for this accounting line index.;;;;Accounting Line Index;;Line;;Numeric;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002189;BCC;Accounting Line Index. Folio. Numeric;The number of the folio for this accounting line index.;;;;Accounting Line Index;;Folio;;Numeric;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002190;ACC;Accounting Line Monetary Value. Details;The material or monetary worth of a thing that is associated with a line that is a part of an accounting entry.;;;;Accounting Line Monetary Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002191;BCC;Accounting Line Monetary Value. Local Accounting Currency. Amount;The monetary value of the accounting line in the accounting currency local to where the accounting records are required.;;;;Accounting Line Monetary Value;;Local Accounting Currency;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002192;BCC;Accounting Line Monetary Value. Voucher Currency. Amount;The monetary value of the accounting line in the voucher currency.;;;;Accounting Line Monetary Value;;Voucher Currency;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002193;BCC;Accounting Line Monetary Value. Alternate Currency. Amount;The monetary value of the accounting line in another currency, such as a reporting currency, a consolidation currency, or the euro transition period.;;;;Accounting Line Monetary Value;;Alternate Currency;;Amount;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002194;BCC;Accounting Line Monetary Value. Alternate Currency Amount Type. Code;The code specifying the type of the alternate currency amount, such as payment amount or Euro transition conversion amount, for this accounting line monetary value.;;;;Accounting Line Monetary Value;;Alternate Currency Amount Type;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002195;BCC;Accounting Line Monetary Value. Debit Credit. Code;The code specifying the accounting sign of the accounting line monetary value (Reference United Nations Code List (UNCL) 4405 code list).;;;;Accounting Line Monetary Value;;Debit Credit;;Code;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002196;BCC;Accounting Line Monetary Value. Matching. Identifier;The unique matching identifier for this accounting line monetary value, used to associate the amount of an accounting line with the opposite signed amount of another line in the same account.;;;;Accounting Line Monetary Value;;Matching;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002197;BCC;Accounting Line Monetary Value. Ticking. Identifier;The unique ticking identifier for this accounting line monetary value, used to associate the amount of an accounting line with the amount of a line into another account.;;;;Accounting Line Monetary Value;;Ticking;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002198;BCC;Accounting Line Monetary Value. Application Number. Identifier;The unique application number identifier for this accounting line monetary value, used for applying it to the corresponding line of the amount of this accounting line.;;;;Accounting Line Monetary Value;;Application Number;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD;UN00002199;BCC;Accounting Line Monetary Value. Achieved Work Category. Identifier;The unique identifier of the achieved category of work for this accounting line monetary value.;;;;Accounting Line Monetary Value;;Achieved Work Category;;Identifier;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
